"ID","step","hours","exposure","material","retain","lstar","astar","bstar","YI","Haze","ftir.1250","ftir.1700","ftir.2900","ftir.3350","dose","doseType"
"sa22089.12",0,0,"5x","TPU",3,96.78,-0.04,0.32,0.57,1.7,NA,NA,NA,NA,0,"fullSpectrum"
"sa22082.00",0,0,"5x","9025-PET",1,95.83,-0.19,0.95,1.65,1.6,NA,NA,NA,NA,0,"fullSpectrum"
"sa22085.08",0,0,"5x","9025-TPU",4,96.82,-0.05,0.35,0.6,2.5,NA,NA,NA,NA,0,"fullSpectrum"
"sa22079.08",0,0,"5x","9013-TPU",4,96.8,-0.04,0.38,0.66,1.8,NA,NA,NA,NA,0,"fullSpectrum"
"sa22085.06",0,0,"5x","9025-TPU",2,96.79,-0.04,0.34,0.59,2,NA,NA,NA,NA,0,"fullSpectrum"
"sa22089.11",0,0,"5x","TPU",2,96.74,-0.04,0.34,0.58,2.1,NA,NA,NA,NA,0,"fullSpectrum"
"sa22089.10",0,0,"5x","TPU",1,96.74,-0.03,0.34,0.59,3.2,NA,NA,NA,NA,0,"fullSpectrum"
"sa22079.05",0,0,"5x","9013-TPU",1,96.78,-0.04,0.36,0.64,1.7,NA,NA,NA,NA,0,"fullSpectrum"
"sa22073.07",0,0,"5x","9006-TPU",3,96.78,-0.04,0.33,0.57,2.5,NA,NA,NA,NA,0,"fullSpectrum"
"sa22079.07",0,0,"5x","9013-TPU",3,96.78,-0.03,0.37,0.65,1.9,NA,NA,NA,NA,0,"fullSpectrum"
"sa22070.08",0,0,"5x","9006-PET",4,95.8,-0.18,0.93,1.62,2.6,NA,NA,NA,NA,0,"fullSpectrum"
"sa22076.08",0,0,"5x","9013-PET",4,95.81,-0.19,0.96,1.67,2.1,NA,NA,NA,NA,0,"fullSpectrum"
"sa22076.05",0,0,"5x","9013-PET",1,95.82,-0.2,0.94,1.62,1,NA,NA,NA,NA,0,"fullSpectrum"
"sa22087.11",0,0,"5x","PET",2,95.06,-0.17,1.03,1.83,1.1,NA,NA,NA,NA,0,"fullSpectrum"
"sa22085.05",0,0,"5x","9025-TPU",1,96.78,-0.04,0.37,0.65,2.7,NA,NA,NA,NA,0,"fullSpectrum"
"sa22087.10",0,0,"5x","PET",1,95.11,-0.18,1.02,1.8,1.1,NA,NA,NA,NA,0,"fullSpectrum"
