Wavenumber,sa22082.02,sa22082.03,sa22089.13,sa22089.12,sa22087.13,sa22087.12,sa22085.08,sa22085.07,sa22079.08,sa22079.07,sa22076.08,sa22076.07,sa22073.08,sa22073.07,sa22070.08,sa22070.07,sa22089.09,sa22089.08,sa22087.09,sa22087.08,sa22085.04,sa22085.03,sa22081.03,sa22081.04,sa22079.04,sa22079.03,sa22076.04,sa22076.03,sa22073.04,sa22073.03,sa22070.04,sa22070.03
2306.62,0.0105243,0.0106677,0.0076417,0.00812602,0.0200095,0.0133504,0.00486667,0.00253646,0.00804998,0.00460136,0.0132179,0.00945447,0.00261559,0.00638855,0.0079171,0.0237121,0.00637758,0.00389786,0.0182735,0.0221569,0.00392635,0.00753416,0.0114676,0.013989,0.00394321,0.00737641,0.0195101,0.0169478,0.00581211,0.00515477,0.00945719,0.0158499
2310.34,0.0105659,0.011002,0.00764401,0.00770902,0.0198583,0.01299,0.00502064,0.00226206,0.0079446,0.00522048,0.0133366,0.00948454,0.00278844,0.00644348,0.00774879,0.0237482,0.00682401,0.00420143,0.0181667,0.0218378,0.00394809,0.0072592,0.0114121,0.0140689,0.00379152,0.00747058,0.0194345,0.0168397,0.00629477,0.00527489,0.00950059,0.0160789
2314.07,0.0105311,0.0111785,0.00792144,0.00800875,0.0202603,0.0131866,0.00516898,0.00238962,0.0082942,0.00560521,0.0138927,0.00974726,0.00327072,0.00670878,0.00740432,0.0244939,0.00699029,0.00417996,0.0181275,0.0222446,0.00412152,0.00739771,0.0117479,0.0144462,0.00391568,0.00770965,0.0200989,0.0169958,0.00676888,0.00567439,0.0097483,0.0165849
2317.8,0.0109421,0.0113832,0.00836477,0.00871298,0.0212646,0.0139656,0.00534372,0.00287173,0.00864868,0.00556012,0.0144097,0.0103315,0.00355134,0.00682812,0.00774183,0.0254128,0.0068555,0.00443822,0.0187673,0.0233265,0.00403236,0.00795612,0.0118986,0.0148692,0.00410171,0.00797144,0.0207949,0.0175068,0.00699857,0.00630962,0.0103878,0.0171831
2321.52,0.0114908,0.0121748,0.00909172,0.00915306,0.0219774,0.0146194,0.00600259,0.00361625,0.00927997,0.00594149,0.0149151,0.0110572,0.00390943,0.00744398,0.00880025,0.026262,0.0074512,0.00510881,0.0199097,0.0243505,0.00479867,0.00875356,0.0123021,0.0156498,0.00474159,0.00853121,0.0214953,0.0183802,0.0076717,0.00697342,0.0109886,0.0179129
2325.25,0.0109237,0.011663,0.00889977,0.00854728,0.0213691,0.0139778,0.00568642,0.00304686,0.00900334,0.00570049,0.0142244,0.0106039,0.00357538,0.0072456,0.00845749,0.0255732,0.00731607,0.00481799,0.0194588,0.0238891,0.00491113,0.00845797,0.0119027,0.0148928,0.00481761,0.00844757,0.0210203,0.017773,0.0073463,0.00640141,0.0100371,0.0168694
2328.98,0.00998315,0.0108279,0.00820484,0.00785609,0.0205873,0.0133039,0.00491173,0.00215219,0.00831293,0.00567771,0.0136249,0.00968705,0.00294587,0.00621187,0.00742236,0.0250417,0.00681133,0.00415874,0.0187983,0.0232605,0.0041871,0.00791666,0.0108782,0.0138609,0.00400466,0.00816518,0.02016,0.016882,0.0066173,0.00521966,0.00853338,0.0155052
2332.7,0.00977927,0.0108028,0.00758568,0.00766505,0.0207875,0.0135195,0.00470226,0.00216684,0.00791668,0.00584807,0.0137286,0.00965267,0.0028314,0.00617536,0.00710692,0.0252495,0.00626052,0.00361966,0.0191216,0.0230892,0.0039295,0.00778354,0.0106641,0.01382,0.00360032,0.00784307,0.0199221,0.0167674,0.00634405,0.00459923,0.00832166,0.0154055
2336.43,0.00999194,0.0107763,0.00720736,0.00774639,0.0212185,0.0138297,0.0049449,0.00230243,0.00764428,0.00557144,0.0139102,0.00986659,0.00278826,0.0066934,0.00728996,0.0253911,0.00596388,0.0033691,0.0195342,0.0231702,0.00418778,0.00774584,0.0108302,0.013708,0.00350839,0.00754976,0.0201078,0.0169938,0.00624855,0.00456747,0.00854416,0.0158245
2340.16,0.0100884,0.0106128,0.00710493,0.00750575,0.0218564,0.0140672,0.00491792,0.00201255,0.00748266,0.00469084,0.0138191,0.00982301,0.00224653,0.00609441,0.0070669,0.0261495,0.00577632,0.0029278,0.0198765,0.0238579,0.00412113,0.00718305,0.0108297,0.0136002,0.00305304,0.00693792,0.0204699,0.0175731,0.00558849,0.00414581,0.00850122,0.0163034
