"ID","step","hours","exposure","retain","substrate","material","lstar","astar","bstar","YI","Haze","ftir.1250","ftir.1700","ftir.2900","ftir.3350","ftir.1250.wavenum","ftir.1700.wavenum","ftir.2900.wavenum","ftir.3350.wavenum","dose","doseType"
"sa22081.04",2,4224,"1x",4,"9025","PET",95.41,-0.18,1.18,2.1,5.7,NA,NA,NA,NA,NA,NA,NA,NA,194.26176,"fullSpectrum"
"sa22070.04",2,4224,"1x",4,"9006","PET",95.37,-0.19,1.18,2.09,5.9,NA,NA,NA,NA,NA,NA,NA,NA,194.26176,"fullSpectrum"
"sa22070.02",2,4224,"1x",2,"9006","PET",95.4,-0.2,1.2,2.12,5.6,NA,NA,NA,NA,NA,NA,NA,NA,194.26176,"fullSpectrum"
"sa22079.03",2,4224,"1x",3,"9013","TPU",96.11,-0.04,0.76,1.4,5.5,NA,NA,NA,NA,NA,NA,NA,NA,194.26176,"fullSpectrum"
"sa22089.09",2,4224,"1x",4,"PURE","TPU",95.1,0.02,1.13,2.17,12.2,NA,NA,NA,NA,NA,NA,NA,NA,194.26176,"fullSpectrum"
"sa22089.08",2,4224,"1x",3,"PURE","TPU",94.95,0.03,1.22,2.34,15.6,NA,NA,NA,NA,NA,NA,NA,NA,194.26176,"fullSpectrum"
"sa22076.04",2,4224,"1x",4,"9013","PET",95.38,-0.24,1.26,2.21,8.7,NA,NA,NA,NA,NA,NA,NA,NA,194.26176,"fullSpectrum"
"sa22079.04",2,4224,"1x",4,"9013","TPU",96.16,-0.02,0.82,1.52,5,NA,NA,NA,NA,NA,NA,NA,NA,194.26176,"fullSpectrum"
"sa22081.03",2,4224,"1x",3,"9025","PET",95.42,-0.19,1.2,2.13,6.6,NA,NA,NA,NA,NA,NA,NA,NA,194.26176,"fullSpectrum"
"sa22087.09",2,4224,"1x",4,"PURE","PET",94.85,-0.2,1.23,2.2,5.9,NA,NA,NA,NA,NA,NA,NA,NA,194.26176,"fullSpectrum"
"sa22076.02",2,4224,"1x",2,"9013","PET",95.56,-0.19,1.19,2.11,3.6,NA,NA,NA,NA,NA,NA,NA,NA,194.26176,"fullSpectrum"
"sa22085.04",2,4224,"1x",4,"9025","TPU",95.96,-0.01,0.87,1.63,6.7,NA,NA,NA,NA,NA,NA,NA,NA,194.26176,"fullSpectrum"
"sa22073.02",2,4224,"1x",2,"9006","TPU",95.19,0.03,1.11,2.12,14.1,NA,NA,NA,NA,NA,NA,NA,NA,194.26176,"fullSpectrum"
"sa22076.03",2,4224,"1x",3,"9013","PET",95.38,-0.2,1.26,2.23,4,NA,NA,NA,NA,NA,NA,NA,NA,194.26176,"fullSpectrum"
"sa22073.04",3,10296,"1x",4,"9006","TPU",95.5,0,1.17,2.21,8.9,0.450697,0.503554,0.0928364,0.0716179,1213.61,1737.45,NA,NA,473.51304,"fullSpectrum"
"sa22079.03",3,10296,"1x",3,"9013","TPU",95.42,-0.02,1.12,2.11,9.3,0.437594,0.468388,0.0879498,0.0780471,1213.61,1737.45,NA,NA,473.51304,"fullSpectrum"
"sa22087.08",3,10296,"1x",3,"PURE","PET",94.96,-0.25,1.28,2.24,5.4,0.405287,0.367667,0.0567183,0.0466299,1213.61,1733.72,NA,NA,473.51304,"fullSpectrum"
"sa22073.03",3,10296,"1x",3,"9006","TPU",95.23,0,1.27,2.42,11.8,0.408473,0.424255,0.177655,0.0730366,1213.61,1737.45,NA,NA,473.51304,"fullSpectrum"
"sa22085.04",3,10296,"1x",4,"9025","TPU",95.78,-0.01,1.07,2.01,7.9,0.363386,0.393899,0.0948112,0.0614907,1213.61,1737.45,NA,NA,473.51304,"fullSpectrum"
"sa22085.03",3,10296,"1x",3,"9025","TPU",95.84,-0.02,1.04,1.95,7.5,0.363216,0.388379,0.0966239,0.0696155,1213.61,1737.45,NA,NA,473.51304,"fullSpectrum"
"sa22079.04",3,10296,"1x",4,"9013","TPU",95.73,-0.03,1.09,2.04,8.1,0.48185,0.50111,0.0946522,0.0687326,1213.61,1737.45,NA,NA,473.51304,"fullSpectrum"
"sa22089.08",3,10296,"1x",3,"PURE","TPU",94.19,0.07,1.7,3.31,20.4,0.420246,0.431736,0.1849,0.0738262,1213.61,1737.45,NA,NA,473.51304,"fullSpectrum"
"sa22089.09",3,10296,"1x",4,"PURE","TPU",94.55,0.05,1.56,3.01,15.5,0.409229,0.419481,0.179545,0.0758895,1213.61,1737.45,NA,NA,473.51304,"fullSpectrum"
"sa22070.03",3,10296,"1x",3,"9006","PET",95.17,-0.15,1.42,2.58,6.2,0.246427,0.238416,0.0511112,0.0446114,1213.61,1737.45,NA,NA,473.51304,"fullSpectrum"
