"ID","exposure","retain","substrate","material","lstar","astar","bstar","YI","Haze","step"
"sa22071.08","ASTMG154",3,"9006","TPU",96.8,-0.05,0.34,0.58,2.1,0
"sa22071.09","ASTMG154",4,"9006","TPU",96.1,-0.02,0.75,1.4,18.9,1
"sa22071.09","ASTMG154",4,"9006","TPU",95.8,0.06,0.56,1.1,20.8,3
"sa22071.09","ASTMG154",4,"9006","TPU",96.82,-0.03,0.3,0.53,1.5,0
"sa22071.09","ASTMG154",4,"9006","TPU",96.1,0.02,0.66,1.25,18.3,2
"sa22072.00","ASTMG154",4,"9006","TPU",96.73,-0.04,0.36,0.62,1.8,0
"sa22072.00","ASTMG154",4,"9006","TPU",96.01,0.01,0.83,1.57,24.5,1
"sa22072.01","HF",1,"9006","TPU",96.64,-0.21,0.81,1.35,2.3,1
"sa22072.01","HF",1,"9006","TPU",96.71,-0.03,0.37,0.67,3.3,0
"sa22072.02","HF",2,"9006","TPU",96.72,-0.19,0.78,1.32,1.2,1
"sa22072.02","HF",2,"9006","TPU",96.76,-0.03,0.35,0.63,2.3,0
"sa22072.02","HF",2,"9006","TPU",96.85,-0.29,1.1,1.83,2.2,2
"sa22072.03","HF",3,"9006","TPU",96.79,-0.04,0.33,0.58,2.1,0
"sa22072.03","HF",3,"9006","TPU",96.76,-0.21,1.1,1.9,2.6,2
"sa22072.03","HF",3,"9006","TPU",96.71,-0.21,0.74,1.23,1.9,1
"sa22072.04","HF",4,"9006","TPU",96.76,-0.29,1.09,1.83,3.1,2
"sa22072.04","HF",4,"9006","TPU",96.78,-0.05,0.36,0.62,1.8,0
"sa22072.04","HF",4,"9006","TPU",96.67,-0.21,0.81,1.36,2.6,1
"sa22072.05","HF",4,"9006","TPU",96.84,-0.29,1.1,1.85,2.4,2
"sa22072.05","HF",4,"9006","TPU",96.74,-0.05,0.34,0.59,2.9,0
"sa22072.05","HF",4,"9006","TPU",96.68,-0.22,0.83,1.38,2.1,1
"sa22072.06","ASTMG155",1,"9006","TPU",95.64,-0.03,0.46,0.84,14.6,1
"sa22072.06","ASTMG155",1,"9006","TPU",96.7,-0.04,0.37,0.65,2.8,0
"sa22072.07","ASTMG155",2,"9006","TPU",96.79,-0.03,0.33,0.58,1.4,0
"sa22072.07","ASTMG155",2,"9006","TPU",95.75,-0.03,0.54,0.99,15.6,1
"sa22072.07","ASTMG155",2,"9006","TPU",96.21,0.01,0.51,0.96,16.1,2
"sa22072.08","ASTMG155",3,"9006","TPU",95.76,-0.07,0.58,1.04,14.9,1
"sa22072.08","ASTMG155",3,"9006","TPU",96.76,-0.05,0.37,0.64,2.7,0
"sa22072.08","ASTMG155",3,"9006","TPU",96.02,-0.02,0.4,0.74,16.5,3
"sa22072.08","ASTMG155",3,"9006","TPU",96.02,-0.01,0.53,0.98,14.4,2
"sa22072.09","ASTMG155",4,"9006","TPU",96.26,-0.03,0.5,0.91,18.5,1
"sa22072.09","ASTMG155",4,"9006","TPU",96.74,-0.05,0.37,0.64,3.2,0
"sa22072.09","ASTMG155",4,"9006","TPU",96.16,-0.02,0.52,0.96,18.3,2
"sa22072.09","ASTMG155",4,"9006","TPU",96.03,0.01,0.46,0.86,19.8,3
"sa22072.09","ASTMG155",4,"9006","TPU",96.12,0.08,0.42,0.84,24.7,4
"sa22073.00","ASTMG155",4,"9006","TPU",96.21,0,0.49,0.92,32.1,2
"sa22073.00","ASTMG155",4,"9006","TPU",96.74,-0.05,0.37,0.64,2.6,0
"sa22073.00","ASTMG155",4,"9006","TPU",96.19,-0.05,0.5,0.9,19.2,1
"sa22073.00","ASTMG155",4,"9006","TPU",96.25,0.06,0.35,0.7,22.3,4
"sa22073.01","1x",1,"9006","TPU",96.01,-0.02,0.7,1.3,7.5,1
"sa22073.01","1x",1,"9006","TPU",96.71,-0.05,0.36,0.63,2.9,0
"sa22073.02","1x",2,"9006","TPU",95.96,-0.05,0.69,1.26,7,1
"sa22073.02","1x",2,"9006","TPU",96.7,-0.04,0.36,0.62,4.3,0
"sa22073.02","1x",2,"9006","TPU",95.19,0.03,1.11,2.12,14.1,2
"sa22073.03","1x",3,"9006","TPU",94.85,0.03,1.23,2.37,19,2
"sa22073.03","1x",3,"9006","TPU",96.18,-0.05,0.72,1.31,5.9,1
"sa22073.03","1x",3,"9006","TPU",95.23,0,1.27,2.42,11.8,3
"sa22073.03","1x",3,"9006","TPU",96.7,-0.04,0.36,0.63,3,0
"sa22073.04","1x",4,"9006","TPU",96.11,-0.05,0.64,1.16,6.8,1
"sa22073.04","1x",4,"9006","TPU",96.66,-0.03,0.36,0.64,3,0
"sa22073.04","1x",4,"9006","TPU",96.19,-0.01,0.76,1.42,6,2
"sa22073.04","1x",4,"9006","TPU",95.5,0,1.17,2.21,8.9,3
"sa22073.05","5x",1,"9006","TPU",96.74,-0.04,0.36,0.63,2.9,0
"sa22073.05","5x",1,"9006","TPU",96.04,-0.01,0.71,1.32,7.9,1
"sa22073.06","5x",2,"9006","TPU",96.1,-0.04,0.7,1.28,7.4,1
"sa22073.06","5x",2,"9006","TPU",96.76,-0.05,0.36,0.63,2.5,0
"sa22073.06","5x",2,"9006","TPU",94.63,0,0.81,1.55,6.5,2
"sa22073.07","5x",3,"9006","TPU",96.78,-0.04,0.33,0.57,2.5,0
"sa22073.07","5x",3,"9006","TPU",96.22,-0.04,0.65,1.18,6.8,1
"sa22073.07","5x",3,"9006","TPU",94.83,0.02,1.31,2.51,7.8,3
"sa22073.08","5x",4,"9006","TPU",95.4,0,0.99,1.87,7.9,3
"sa22073.08","5x",4,"9006","TPU",96.14,-0.02,0.71,1.32,7.3,1
"sa22073.08","5x",4,"9006","TPU",96.75,-0.04,0.33,0.58,3.5,0
"sa22073.08","5x",4,"9006","TPU",96.02,-0.02,0.82,1.52,7,2
"sa22073.09","baseline",0,"9006","TPU",96.65,-0.04,0.35,0.62,4.4,0
"sa22073.09","baseline",0,"9006","TPU",96.59,-0.02,0.4,0.72,3.8,0
"sa22074.00","baseline",0,"9013","PET",95.78,-0.18,0.97,1.69,1.9,0
"sa22074.00","baseline",0,"9013","PET",95.87,-0.17,0.94,1.65,4.2,0
"sa22074.01","mASTMG154",1,"9013","PET",95.67,-0.53,2.03,3.42,1.4,1
"sa22074.01","mASTMG154",1,"9013","PET",95.8,-0.17,0.96,1.68,2.2,0
"sa22074.02","mASTMG154",2,"9013","PET",95.81,-0.17,0.95,1.66,1.5,0
"sa22074.02","mASTMG154",2,"9013","PET",95.61,-0.52,2.02,3.43,1.7,1
"sa22074.03","mASTMG154",3,"9013","PET",94.98,-0.74,3.32,5.71,11.5,3
"sa22074.03","mASTMG154",3,"9013","PET",95.63,-0.61,2.33,3.93,1.7,2
"sa22074.03","mASTMG154",3,"9013","PET",95.67,-0.51,1.91,3.23,1.3,1
"sa22074.03","mASTMG154",3,"9013","PET",95.78,-0.18,0.96,1.68,1.1,0
"sa22074.04","mASTMG154",4,"9013","PET",95.09,-0.81,3.68,6.32,5.1,3
"sa22074.04","mASTMG154",4,"9013","PET",95.59,-0.54,2,3.38,1.6,1
"sa22074.04","mASTMG154",4,"9013","PET",95.51,-0.7,2.78,4.71,1.8,2
"sa22074.04","mASTMG154",4,"9013","PET",94.2,-0.73,4.12,7.26,35.9,4
"sa22074.04","mASTMG154",4,"9013","PET",95.84,-0.18,0.96,1.68,1.6,0
"sa22074.05","mASTMG154",4,"9013","PET",95.68,-0.52,1.97,3.32,1,1
"sa22074.05","mASTMG154",4,"9013","PET",95.84,-0.19,0.96,1.67,1,0
"sa22074.05","mASTMG154",4,"9013","PET",95.29,-0.73,3.09,5.27,4.5,3
"sa22074.05","mASTMG154",4,"9013","PET",95.37,-0.66,2.56,4.34,3.7,2
"sa22074.06","ASTMG154",1,"9013","PET",95.63,-0.34,1.33,2.25,2,1
"sa22074.06","ASTMG154",1,"9013","PET",95.84,-0.16,0.94,1.65,1.1,0
"sa22074.07","ASTMG154",2,"9013","PET",95.57,-0.32,1.29,2.2,2.6,1
"sa22074.07","ASTMG154",2,"9013","PET",95.68,-0.11,1.52,2.8,7,2
"sa22074.07","ASTMG154",2,"9013","PET",95.8,-0.17,0.96,1.68,1.3,0
