Wavenumber,sa22088.11,sa22086.11,sa22084.01,sa22078.01,sa22080.11,sa22075.01,sa22072.01,sa22069.01,sa22086.01,sa22088.01,sa22083.01,sa22077.01,sa22080.01,sa22074.01,sa22071.01,sa22068.01,sa22089.01,sa22084.06,sa22087.01,sa22078.06,sa22080.16,sa22075.06,sa22069.06,sa22072.06,sa22088.06,sa22086.06,sa22083.06,sa22080.06,sa22077.06,sa22074.06,sa22071.06,sa22068.06
1620.01,0.0331305,0.041941,0.0420774,0.0934518,0.0303643,0.0342131,0.0384343,0.030724,0.0715259,0.0407658,0.0616171,0.122363,0.0532281,0.0470278,0.0737297,0.0356871,0.034567,0.0723144,0.0525082,0.111386,0.0473458,0.0604593,0.0491691,0.0394819,0.0333684,0.0667981,0.0583293,0.0323015,0.132739,0.0393462,0.0349118,0.0240002
1621.87,0.0354895,0.0426172,0.0429378,0.0945616,0.0303322,0.0348687,0.0406491,0.030606,0.0719477,0.0427409,0.0640782,0.125593,0.0539774,0.047906,0.0753755,0.0370471,0.036615,0.0746958,0.0524031,0.114375,0.0479075,0.0609495,0.0498804,0.0411261,0.0349997,0.066421,0.0602241,0.0322719,0.13374,0.0397485,0.0360805,0.0240377
1623.73,0.0368472,0.0445482,0.0430207,0.0967519,0.0283505,0.0347166,0.0415229,0.0293328,0.0736644,0.043966,0.0661149,0.129432,0.0549563,0.0484824,0.0781149,0.0373042,0.0378568,0.0771118,0.05435,0.118738,0.0491509,0.0626418,0.0509875,0.0423809,0.0367365,0.068959,0.062529,0.0330685,0.137233,0.0409602,0.0378498,0.0247138
1625.6,0.0398888,0.0466557,0.0459187,0.101864,0.0296013,0.0365086,0.0444167,0.0312259,0.0758701,0.0469166,0.069586,0.134768,0.0573914,0.0512335,0.0825322,0.0394392,0.0412231,0.0810291,0.0569337,0.12423,0.0515108,0.0654934,0.053835,0.0455851,0.0399542,0.0713872,0.0657821,0.0351851,0.140718,0.0428616,0.0409603,0.0262246
1627.46,0.0408902,0.0462212,0.0471322,0.106336,0.0295401,0.0365035,0.0455848,0.0308151,0.0754118,0.0471801,0.0704388,0.136677,0.0572278,0.0508553,0.0833438,0.0390442,0.0418764,0.0823103,0.056203,0.126075,0.0513363,0.0655422,0.0533236,0.0461448,0.0405534,0.0703556,0.0669099,0.0344879,0.140919,0.0424424,0.0423449,0.0258372
1629.33,0.0408812,0.0457369,0.0475183,0.112744,0.0291384,0.0360628,0.0460269,0.0303772,0.0751982,0.0472563,0.0715456,0.138349,0.0574348,0.0505759,0.0847285,0.0386647,0.0428495,0.0840345,0.0565845,0.128456,0.0520974,0.0661754,0.0535849,0.0473858,0.0420799,0.0711171,0.069377,0.0349474,0.142526,0.0432184,0.044165,0.0268546
1631.19,0.0425402,0.0449283,0.0500146,0.120553,0.0312828,0.036914,0.0478311,0.0324891,0.0744729,0.0490091,0.07325,0.139648,0.0575346,0.0511035,0.0864213,0.0394534,0.0444983,0.0855759,0.0561857,0.130344,0.0521372,0.0659428,0.0540261,0.0491826,0.0436469,0.0701597,0.0711118,0.035262,0.142757,0.0433549,0.0456817,0.0274901
1633.06,0.0462997,0.044951,0.0544879,0.12873,0.034454,0.03888,0.0514985,0.0350642,0.0745634,0.0524018,0.075782,0.142162,0.0581122,0.0521026,0.0891299,0.0413063,0.0480777,0.0884673,0.0564673,0.13362,0.0529554,0.0667047,0.0551869,0.0525989,0.0466087,0.0697858,0.0738556,0.0354704,0.14323,0.0438419,0.0485334,0.0280031
1634.92,0.0554383,0.0527925,0.063278,0.139514,0.0396579,0.0442883,0.0602051,0.0389793,0.0807151,0.0602162,0.0827646,0.15047,0.0628239,0.0564927,0.0960513,0.0450139,0.0548691,0.0940785,0.0612652,0.140849,0.0569723,0.0709388,0.0581796,0.0583246,0.0517658,0.0739623,0.0785813,0.0364602,0.14797,0.0450848,0.0530577,0.0284984
1636.78,0.0587329,0.0577003,0.0644639,0.139011,0.0359937,0.0431182,0.0623881,0.0356044,0.0838125,0.063816,0.0863034,0.155708,0.0642991,0.0569632,0.0996646,0.0432782,0.0586803,0.0970303,0.0650678,0.146309,0.0594719,0.0739776,0.0590874,0.0615779,0.0569293,0.0801087,0.0833107,0.0385659,0.15553,0.0473585,0.0584381,0.0291685
