Wavenumber,sa22087.10,sa22089.10,sa22085.05,sa22082.00,sa22079.05,sa22076.05,sa22073.05,sa22070.05,sa22089.06,sa22087.06,sa22085.01,sa22081.01,sa22079.01,sa22076.01,sa22073.01,sa22070.01
926.516,0.106662,0.106851,0.160458,0.0932544,0.171805,0.096659,0.190708,0.0728027,0.101839,0.131543,0.156343,0.106865,0.152098,0.113506,0.143754,0.0973163
928.381,0.107351,0.113158,0.161621,0.0928539,0.174092,0.0962833,0.191943,0.0721131,0.108525,0.132741,0.157614,0.106754,0.151386,0.11417,0.147814,0.0961438
930.245,0.108049,0.118849,0.161576,0.0916238,0.17493,0.0952566,0.192239,0.0711135,0.114366,0.133815,0.157734,0.10599,0.150064,0.114654,0.149939,0.0944365
932.109,0.108453,0.122292,0.16101,0.090598,0.174853,0.0940156,0.191316,0.0701472,0.11762,0.134717,0.156994,0.1051,0.149016,0.114589,0.150435,0.0923696
933.973,0.109556,0.124335,0.161108,0.0902253,0.174994,0.093626,0.190669,0.0694304,0.119292,0.135896,0.156856,0.104914,0.148717,0.114826,0.15052,0.0913287
935.838,0.11101,0.126306,0.161915,0.0901351,0.175466,0.0937468,0.190859,0.0688575,0.120937,0.137255,0.15758,0.104615,0.148843,0.115318,0.151019,0.0907779
937.702,0.111622,0.128681,0.163159,0.0899705,0.176084,0.0937786,0.191468,0.0686801,0.123065,0.138519,0.158243,0.104373,0.149476,0.11573,0.15175,0.0900377
939.566,0.11235,0.130945,0.164806,0.0898882,0.176961,0.0937985,0.191894,0.0689253,0.125615,0.139722,0.159385,0.104574,0.150676,0.116329,0.153014,0.0897685
941.43,0.113009,0.133762,0.166932,0.0899653,0.178602,0.0936111,0.19288,0.0689368,0.128784,0.140647,0.161711,0.104799,0.151883,0.11684,0.154846,0.0897886
943.294,0.113711,0.137678,0.170427,0.0904384,0.181205,0.0940219,0.194932,0.0692381,0.132706,0.142252,0.165186,0.105418,0.153556,0.117749,0.157499,0.090103
945.159,0.114925,0.141954,0.175174,0.0914406,0.184107,0.0950062,0.197509,0.0700232,0.136732,0.144113,0.169869,0.106471,0.155903,0.118752,0.160688,0.0909022
947.023,0.115714,0.14615,0.180306,0.0927559,0.186769,0.0952019,0.200885,0.0704781,0.140631,0.145138,0.175584,0.10758,0.158715,0.119446,0.163829,0.0918251
948.887,0.116438,0.150677,0.186746,0.0941848,0.190892,0.0960669,0.205818,0.0713582,0.144997,0.146429,0.182762,0.109114,0.162243,0.120478,0.168016,0.0931273
950.751,0.117814,0.155323,0.194935,0.0954625,0.196626,0.0978007,0.212386,0.0732663,0.149602,0.148483,0.192053,0.111376,0.167129,0.121948,0.173553,0.0951607
952.615,0.119495,0.159244,0.204276,0.0969089,0.203253,0.099019,0.220308,0.0754438,0.153389,0.150643,0.202639,0.11391,0.173172,0.123882,0.179578,0.097675
954.48,0.121175,0.161703,0.213855,0.0985402,0.211125,0.100207,0.229661,0.0775488,0.156122,0.152519,0.213436,0.11604,0.179665,0.125956,0.185547,0.100278
956.344,0.122353,0.16387,0.223818,0.100195,0.220566,0.101624,0.240989,0.0796355,0.15888,0.154424,0.225168,0.11809,0.18742,0.127803,0.192471,0.103471
958.208,0.123563,0.166771,0.235128,0.102089,0.232064,0.103465,0.254346,0.0819422,0.161799,0.15659,0.238357,0.120119,0.195638,0.129684,0.20138,0.10721
960.072,0.124649,0.170219,0.246954,0.10384,0.245346,0.105493,0.269458,0.0842752,0.165015,0.158386,0.252128,0.121671,0.203827,0.131638,0.211356,0.110679
961.937,0.125387,0.17425,0.257498,0.105221,0.259258,0.10736,0.28482,0.0864509,0.168926,0.160095,0.26488,0.123158,0.212532,0.133339,0.221454,0.113755
963.801,0.126157,0.179052,0.267034,0.106217,0.273127,0.108861,0.299413,0.0889951,0.173653,0.161988,0.276073,0.125119,0.220863,0.134536,0.232126,0.116878
965.665,0.126915,0.184115,0.275393,0.106864,0.286129,0.1099,0.313168,0.0913429,0.178079,0.163448,0.284798,0.12596,0.227465,0.135288,0.242487,0.119595
967.529,0.12731,0.188844,0.28143,0.107134,0.297773,0.11057,0.325098,0.0930757,0.182576,0.164301,0.291077,0.125678,0.232722,0.135456,0.251713,0.12183
969.393,0.126254,0.193146,0.285848,0.106889,0.307424,0.110683,0.334674,0.094597,0.187219,0.163604,0.295917,0.125089,0.237171,0.135025,0.25987,0.124024
971.258,0.123093,0.197737,0.29055,0.106656,0.315914,0.111044,0.343257,0.0961939,0.191934,0.159904,0.300627,0.124671,0.240874,0.133854,0.267246,0.126428
973.122,0.11868,0.202332,0.295949,0.107211,0.324131,0.111898,0.351774,0.0975974,0.196591,0.153784,0.306349,0.124898,0.244124,0.132299,0.274483,0.129038
974.986,0.11502,0.207868,0.303436,0.109006,0.332852,0.113388,0.360718,0.0992358,0.20165,0.148131,0.314451,0.126642,0.24784,0.132316,0.282387,0.131735
976.85,0.113066,0.213608,0.313404,0.111245,0.342042,0.115977,0.370248,0.100948,0.206563,0.144675,0.325381,0.129658,0.252243,0.134075,0.290675,0.134432
978.715,0.112369,0.217538,0.323973,0.113604,0.351407,0.118457,0.379711,0.102161,0.210265,0.143324,0.337967,0.132838,0.256367,0.136255,0.299171,0.136761
980.579,0.112938,0.218056,0.334197,0.11665,0.359495,0.120419,0.387323,0.103242,0.21105,0.143936,0.349985,0.136349,0.259202,0.138713,0.30617,0.138566
982.443,0.114348,0.214779,0.342421,0.119221,0.364057,0.122162,0.39112,0.103998,0.20752,0.145857,0.359109,0.139403,0.26032,0.14145,0.309565,0.139926
984.307,0.116356,0.208698,0.345305,0.120338,0.363715,0.123111,0.38987,0.103789,0.200773,0.148227,0.362114,0.140912,0.258586,0.143637,0.308176,0.140011
986.171,0.118875,0.201565,0.341862,0.120497,0.359753,0.123388,0.384149,0.102909,0.193495,0.150862,0.357891,0.140922,0.254283,0.144917,0.303162,0.138743
988.036,0.120578,0.195182,0.334625,0.119875,0.35305,0.12298,0.376156,0.101988,0.186821,0.152982,0.349005,0.139656,0.248861,0.145038,0.296325,0.136892
989.9,0.120786,0.190612,0.326219,0.1185,0.344812,0.122116,0.36695,0.101044,0.181436,0.153605,0.338257,0.138133,0.243072,0.144278,0.288374,0.13503
991.764,0.120859,0.187937,0.318234,0.116982,0.336215,0.120978,0.357053,0.0998137,0.178632,0.153519,0.327757,0.137167,0.23675,0.143567,0.280823,0.133129
993.628,0.121815,0.18756,0.310746,0.115873,0.328908,0.119831,0.348032,0.0983844,0.178425,0.154188,0.318694,0.135815,0.231139,0.143121,0.275223,0.130899
995.492,0.123278,0.190016,0.304617,0.115038,0.323079,0.119408,0.340989,0.0973332,0.180004,0.155934,0.310668,0.13443,0.227049,0.142933,0.272007,0.129086
997.357,0.124653,0.194465,0.29993,0.114283,0.318618,0.119228,0.335776,0.0968137,0.1838,0.158015,0.304042,0.133319,0.223688,0.143072,0.270804,0.127767
999.221,0.126355,0.199924,0.295934,0.11353,0.31517,0.118833,0.332247,0.0966123,0.189323,0.160199,0.298737,0.132314,0.221393,0.143311,0.270762,0.12711
1001.09,0.128394,0.206501,0.292508,0.113202,0.312988,0.118478,0.330392,0.0967099,0.195869,0.16262,0.294349,0.13171,0.220637,0.143661,0.27214,0.127227
1002.95,0.130492,0.213404,0.289536,0.113456,0.3125,0.118797,0.32944,0.0973023,0.2026,0.165755,0.290688,0.131573,0.220294,0.144534,0.274226,0.127794
1004.81,0.133154,0.219852,0.287636,0.113772,0.312897,0.119745,0.329621,0.0980236,0.20888,0.169938,0.287505,0.131783,0.220318,0.145886,0.276424,0.128445
1006.68,0.1361,0.224955,0.286485,0.114001,0.313208,0.12024,0.330988,0.0983922,0.213355,0.174316,0.284952,0.132214,0.221155,0.147344,0.278187,0.128877
1008.54,0.13957,0.227794,0.286438,0.114546,0.314011,0.120898,0.333678,0.0987279,0.215941,0.179644,0.283632,0.13297,0.222497,0.148872,0.279534,0.129311
1010.41,0.144471,0.22841,0.288209,0.115643,0.315574,0.122161,0.337355,0.0993396,0.216812,0.187273,0.284416,0.134173,0.224407,0.151117,0.280369,0.130267
1012.27,0.150964,0.227204,0.29204,0.11697,0.317493,0.123266,0.341684,0.100193,0.214966,0.197787,0.28769,0.135586,0.226461,0.153586,0.281052,0.131355
1014.13,0.157852,0.224578,0.297302,0.117645,0.319498,0.123272,0.346876,0.101139,0.211324,0.211033,0.292599,0.136255,0.228008,0.154854,0.282136,0.132112
1016,0.161889,0.221972,0.303761,0.116795,0.322034,0.12184,0.352832,0.102111,0.208586,0.220874,0.298908,0.135071,0.229766,0.153262,0.283732,0.132822
1017.86,0.158703,0.22071,0.310421,0.114395,0.3256,0.119151,0.358729,0.10301,0.207391,0.218636,0.306136,0.131779,0.23218,0.147747,0.28633,0.133737
1019.73,0.148778,0.221869,0.317347,0.111867,0.330465,0.116228,0.365352,0.103923,0.208792,0.205289,0.313395,0.127916,0.234743,0.140316,0.290807,0.135008
1021.59,0.135895,0.226262,0.325216,0.109534,0.336398,0.113417,0.37234,0.105381,0.213051,0.187448,0.320755,0.124004,0.237323,0.132565,0.297312,0.136642
1023.46,0.120019,0.23475,0.333671,0.107338,0.343476,0.11103,0.37923,0.107406,0.221197,0.164647,0.329229,0.120672,0.240124,0.123602,0.306237,0.139437
1025.32,0.102032,0.246753,0.342578,0.107593,0.351166,0.111368,0.386595,0.109487,0.23351,0.137926,0.33913,0.120476,0.242714,0.116404,0.316952,0.143451
1027.18,0.0918372,0.261864,0.351534,0.112753,0.359519,0.11639,0.394067,0.111335,0.248981,0.121339,0.349054,0.126266,0.24583,0.117486,0.329267,0.147797
1029.05,0.0938421,0.280072,0.359285,0.120236,0.367122,0.123027,0.400449,0.111958,0.267124,0.12177,0.35781,0.1354,0.248388,0.125459,0.342863,0.150644
1030.91,0.101316,0.300266,0.365686,0.125752,0.372837,0.127921,0.405164,0.111593,0.287354,0.13065,0.364675,0.142574,0.249713,0.13392,0.356357,0.151443
1032.78,0.108756,0.319001,0.369826,0.128529,0.376507,0.130768,0.407872,0.110908,0.306668,0.140165,0.368838,0.146249,0.250903,0.140122,0.367032,0.150293
1034.64,0.114299,0.332698,0.370567,0.129061,0.377981,0.131391,0.408722,0.109495,0.320826,0.148016,0.371273,0.147561,0.2514,0.144171,0.372926,0.14824
1036.51,0.118234,0.340876,0.37015,0.128655,0.378832,0.130855,0.409423,0.107887,0.329076,0.15415,0.372161,0.147962,0.251754,0.14682,0.375261,0.146876
1038.37,0.121544,0.344905,0.370552,0.128272,0.380277,0.130679,0.410949,0.106917,0.333719,0.158943,0.372616,0.148351,0.253196,0.149071,0.376218,0.146121
1040.23,0.124336,0.345481,0.372161,0.128039,0.382315,0.13095,0.413933,0.106763,0.335561,0.16262,0.374731,0.148664,0.255214,0.15107,0.376694,0.145867
1042.1,0.125795,0.343281,0.375382,0.128271,0.384601,0.13114,0.417685,0.107082,0.334132,0.165179,0.378694,0.14913,0.257492,0.152072,0.376546,0.146103
1043.96,0.12634,0.338767,0.379379,0.128918,0.387057,0.131572,0.421719,0.107481,0.329365,0.166754,0.383896,0.149821,0.260197,0.152772,0.374923,0.146607
1045.83,0.126536,0.330092,0.383563,0.129302,0.389786,0.131943,0.426445,0.107605,0.320382,0.167333,0.390384,0.150029,0.262981,0.15338,0.371583,0.147018
1047.69,0.126508,0.317051,0.387645,0.129401,0.393592,0.132219,0.431412,0.107445,0.307144,0.167099,0.396935,0.150173,0.266082,0.154013,0.36771,0.146914
1049.55,0.126837,0.301741,0.392091,0.129775,0.400277,0.132526,0.43741,0.107543,0.291772,0.166625,0.403453,0.150772,0.270738,0.154876,0.364493,0.147077
1051.42,0.126938,0.286271,0.39744,0.13006,0.411082,0.132955,0.445615,0.107823,0.2759,0.166227,0.41114,0.151447,0.276835,0.156099,0.363618,0.147755
1053.28,0.126681,0.273118,0.403591,0.130061,0.425426,0.133963,0.455351,0.107933,0.262279,0.166213,0.419846,0.152113,0.282385,0.157268,0.366081,0.14818
