Wavenumber,sa22089.14,sa22088.00,sa22087.14,sa22086.00,sa22085.09,sa22083.00,sa22080.00,sa22082.04,sa22079.09,sa22077.00,sa22076.09,sa22074.00,sa22073.09,sa22071.00,sa22070.09,sa22068.00
1737.45,0.271874,0.270746,0.107601,0.10288,0.224744,0.228947,0.0947755,0.0939387,0.278983,0.267583,0.104684,0.130886,0.292665,0.323005,0.110277,0.0912232
1739.32,0.235232,0.234305,0.0893519,0.085104,0.195635,0.198423,0.0826383,0.0825518,0.247006,0.235443,0.0926648,0.117847,0.25543,0.286152,0.0984827,0.0820386
1741.18,0.196496,0.195943,0.0728825,0.0690768,0.169126,0.169302,0.0740852,0.0735657,0.215429,0.203557,0.0829682,0.106151,0.21615,0.24795,0.0880922,0.0738902
1743.04,0.162713,0.1623,0.0601485,0.056935,0.146703,0.145686,0.0668476,0.065778,0.188921,0.177529,0.0742074,0.0961178,0.183194,0.216334,0.0796762,0.0669745
1744.91,0.1313,0.130887,0.0487057,0.0461671,0.125682,0.123575,0.0588047,0.0578726,0.164304,0.154323,0.0655877,0.0855143,0.152787,0.187248,0.07119,0.0599638
1746.77,0.105193,0.104614,0.0400722,0.0376771,0.107062,0.103863,0.0511889,0.0504374,0.142411,0.133202,0.05771,0.0755124,0.126388,0.16126,0.062654,0.0528244
1748.64,0.08492,0.0845572,0.0348433,0.032322,0.0913339,0.0881757,0.044806,0.0441361,0.123784,0.115043,0.051264,0.0668358,0.105591,0.138833,0.0553364,0.0467087
1750.5,0.0691963,0.0689574,0.0309873,0.0286348,0.0769203,0.0743897,0.0391892,0.0387588,0.106061,0.0982391,0.0451675,0.0581929,0.0872885,0.11719,0.0481709,0.0407804
1752.37,0.0565409,0.0563447,0.0264506,0.0245064,0.0632587,0.0613058,0.0337782,0.0327793,0.0886668,0.0827723,0.0387097,0.0490258,0.0714144,0.0967247,0.041134,0.03438
1754.23,0.0454281,0.0456347,0.0212487,0.0197237,0.051143,0.0496679,0.0275372,0.0264544,0.0735962,0.0691114,0.0320203,0.0405757,0.0588646,0.0798991,0.0344916,0.0283183
1756.09,0.0385469,0.0386685,0.0183837,0.0173675,0.042758,0.0417885,0.0227777,0.0225351,0.0624458,0.0584112,0.0269516,0.0345477,0.0501776,0.066993,0.0292887,0.023999
1757.96,0.03477,0.0347486,0.0180763,0.0171685,0.0372887,0.0367396,0.0207162,0.020762,0.0532392,0.0503644,0.0241861,0.0300909,0.0434654,0.0558834,0.0259221,0.0210753
1759.82,0.0310989,0.0311381,0.0168726,0.0159641,0.0324492,0.0321546,0.0179271,0.0178494,0.0453829,0.0431904,0.0207897,0.0253408,0.0374409,0.0471875,0.0219422,0.0173215
1761.69,0.0279141,0.0280118,0.015566,0.0145975,0.0287478,0.0287573,0.016043,0.0157962,0.039321,0.037352,0.0179509,0.0217884,0.0331775,0.0406709,0.0187218,0.0145021
1763.55,0.0268173,0.0267431,0.0158283,0.0145014,0.0270723,0.0271429,0.0164229,0.0159051,0.0353261,0.0336813,0.0167825,0.0200543,0.0303178,0.0356853,0.0174515,0.0137106
1765.41,0.0235256,0.0232848,0.0136073,0.0121614,0.0233047,0.0235675,0.0136132,0.0134608,0.0307092,0.0289873,0.0138765,0.0171597,0.0263099,0.0310619,0.0153311,0.0120191
1767.28,0.0220854,0.0215237,0.0126008,0.0117661,0.0213117,0.0220083,0.0116928,0.0123354,0.0278941,0.0263867,0.0127173,0.0154158,0.0244246,0.028422,0.0141611,0.0110691
1769.14,0.022764,0.0218272,0.013762,0.0131848,0.0215417,0.0218801,0.0123424,0.0130805,0.0267296,0.0260475,0.0136333,0.0152303,0.0241418,0.0267901,0.0141896,0.0110837
1771.01,0.0227829,0.0218107,0.0147212,0.0136288,0.02109,0.0212439,0.0124098,0.0130659,0.0259351,0.0250832,0.0133388,0.0151539,0.0232494,0.0253204,0.0133664,0.0105814
1772.87,0.0229295,0.0224625,0.0155443,0.0146252,0.0210947,0.0215996,0.013648,0.0135586,0.0256816,0.02472,0.0136803,0.0152346,0.0233806,0.0244036,0.0135607,0.0113033
1774.74,0.022308,0.0221623,0.0152661,0.0144869,0.0208335,0.0210443,0.014063,0.0132985,0.0243337,0.023821,0.013697,0.0140684,0.0226842,0.0231456,0.0131516,0.0108834
1776.6,0.0186144,0.0181373,0.0123757,0.0110301,0.0174733,0.0175598,0.0106042,0.0104309,0.0204178,0.020453,0.0107326,0.0113028,0.0192597,0.0204063,0.0105466,0.0083433
1778.46,0.0162167,0.0158058,0.0108417,0.00938145,0.0152635,0.0155943,0.00833856,0.00854842,0.0179402,0.0182199,0.00882028,0.00982876,0.0172101,0.018839,0.00928539,0.00742123
1780.33,0.0161947,0.0161249,0.0113381,0.0104434,0.0151254,0.0159323,0.00898771,0.00873666,0.0180629,0.0173802,0.00921044,0.0098792,0.0171132,0.0186962,0.00987702,0.00785078
1782.19,0.0162585,0.016047,0.0115757,0.010658,0.0151779,0.0158126,0.00982025,0.00918902,0.0182749,0.0172992,0.00961503,0.00979776,0.0170147,0.0184086,0.0101704,0.00776227
1784.06,0.0154731,0.0148881,0.011264,0.00986155,0.0145415,0.0142782,0.00880202,0.00855287,0.0168624,0.0166137,0.00868815,0.00895021,0.015593,0.0171782,0.00909771,0.00712909
1785.92,0.0147815,0.0144575,0.0112792,0.0097414,0.0140168,0.0135196,0.00854882,0.00808159,0.0161217,0.0160665,0.00878859,0.00881824,0.0152956,0.0167744,0.00901744,0.0076145
1787.79,0.0139901,0.0136697,0.0106284,0.00935756,0.0128933,0.0126762,0.0082497,0.00743936,0.0154956,0.0147695,0.00820518,0.00814537,0.0146172,0.0159518,0.0083041,0.00688626
1789.65,0.0129026,0.0123199,0.00966622,0.00909335,0.011773,0.0117359,0.00717023,0.00720094,0.0147874,0.0136327,0.00692044,0.00743292,0.0139066,0.0152106,0.00763033,0.00583811
1791.51,0.0145327,0.0140834,0.0116507,0.0113472,0.0131465,0.013513,0.00883021,0.00956455,0.0159067,0.0150066,0.00853726,0.00903941,0.014939,0.0159434,0.00896111,0.00699591
1793.38,0.01656,0.0167178,0.0143339,0.0131657,0.0148123,0.0154807,0.0114052,0.0114222,0.0174017,0.01684,0.011017,0.0104647,0.016275,0.01646,0.0104433,0.0085086
