Wavenumber,sa22088.12,sa22086.12,sa22084.02,sa22078.02,sa22080.12,sa22075.02,sa22072.02,sa22069.02,sa22088.02,sa22083.02,sa22086.02,sa22080.02,sa22077.02,sa22074.02,sa22071.02,sa22068.02,sa22065.52,sa22062.52,sa22059.52,sa22056.52,sa22089.02,sa22087.02,sa22084.07,sa22080.17,sa22078.07,sa22063.57,sa22069.07,sa22075.07,sa22072.07,sa22088.07,sa22086.07,sa22083.07,sa22080.07,sa22077.07,sa22074.07,sa22071.07,sa22068.07
712.131,0.0789181,0.428971,0.0749038,0.0766298,0.41027,0.429035,0.0784949,0.452921,0.0757419,0.115937,0.303692,0.209769,0.224917,0.127259,0.0768258,0.109774,0.107247,0.191835,0.128196,0.122721,0.0811107,0.274533,0.0909548,0.315949,0.170613,0.266415,0.279179,0.252397,0.107515,0.0896079,0.0836624,0.076099,0.186033,0.107744,0.267231,0.0952663,0.11754
713.996,0.0776011,0.444062,0.0738167,0.0753447,0.423098,0.44262,0.077323,0.469077,0.0751437,0.115416,0.308671,0.211677,0.224533,0.126273,0.0764129,0.109211,0.10654,0.19142,0.128714,0.12179,0.0804298,0.282838,0.0904233,0.323362,0.169825,0.269617,0.286551,0.259162,0.107707,0.0908211,0.0883685,0.0757988,0.193579,0.107109,0.270814,0.0952542,0.116875
715.86,0.0764243,0.459947,0.0729615,0.0746094,0.438591,0.458492,0.0765961,0.488788,0.074197,0.11544,0.313668,0.212877,0.224708,0.125707,0.0758057,0.107561,0.106518,0.19045,0.129127,0.121152,0.0806879,0.291916,0.0907594,0.331738,0.169809,0.273176,0.293385,0.267013,0.108029,0.0925448,0.093796,0.0753329,0.201038,0.106524,0.273963,0.0953116,0.116274
717.724,0.0767658,0.478399,0.073162,0.0752445,0.457385,0.478302,0.0766502,0.510679,0.0747772,0.116508,0.318492,0.21337,0.226512,0.125071,0.0764167,0.106823,0.107929,0.189934,0.13109,0.120378,0.0822555,0.302228,0.0922071,0.341997,0.172037,0.277657,0.300626,0.277305,0.11015,0.0954163,0.0997656,0.0748197,0.207794,0.106063,0.276161,0.0950451,0.115599
719.588,0.0771738,0.494377,0.0737346,0.0756052,0.473911,0.49518,0.0765635,0.52813,0.075744,0.117467,0.321654,0.212573,0.226636,0.12395,0.0775437,0.106271,0.109393,0.187929,0.133893,0.118697,0.0838146,0.310381,0.0938009,0.349533,0.174396,0.279318,0.306378,0.285082,0.113265,0.1006,0.107922,0.0752437,0.214091,0.106602,0.276303,0.0953699,0.114731
721.452,0.0773668,0.503824,0.0743899,0.0767981,0.482623,0.502851,0.0772878,0.538265,0.0768685,0.118469,0.321522,0.209531,0.226729,0.121913,0.0784142,0.104101,0.111001,0.184182,0.137215,0.116169,0.085745,0.313492,0.0958384,0.350713,0.177158,0.276329,0.306993,0.287227,0.116879,0.10732,0.116643,0.0772661,0.216519,0.10846,0.274919,0.0975591,0.113536
723.317,0.0787277,0.497627,0.0755741,0.0790068,0.476985,0.49647,0.0785581,0.531967,0.07854,0.11951,0.31589,0.203566,0.227196,0.118941,0.0799874,0.101045,0.11206,0.17803,0.140405,0.11288,0.0880461,0.307897,0.0983153,0.342787,0.179513,0.2671,0.299801,0.281936,0.12027,0.112671,0.121893,0.0799137,0.213127,0.110523,0.270325,0.100516,0.111974
725.181,0.0820829,0.471777,0.0782824,0.0824789,0.451817,0.470196,0.080463,0.500891,0.0818061,0.121447,0.304005,0.194872,0.22859,0.116396,0.0832817,0.0977233,0.11369,0.169481,0.144049,0.10963,0.0923035,0.291639,0.102006,0.323895,0.181723,0.251142,0.282197,0.266967,0.124218,0.115555,0.119927,0.0829965,0.202837,0.113029,0.258202,0.103462,0.109822
727.045,0.0868968,0.426725,0.0820524,0.0867707,0.408349,0.424778,0.084454,0.449876,0.0864951,0.124264,0.285737,0.182821,0.230435,0.114413,0.0876122,0.0943302,0.117481,0.160333,0.148206,0.106827,0.0973507,0.266683,0.105895,0.29521,0.18438,0.230649,0.257102,0.243976,0.127103,0.116933,0.110043,0.0865538,0.184247,0.115542,0.237439,0.106382,0.107083
728.909,0.0911428,0.372567,0.0849507,0.0905616,0.356763,0.370242,0.0885887,0.390775,0.0901874,0.126383,0.26561,0.170262,0.23164,0.112429,0.0912693,0.0917254,0.121205,0.151428,0.150395,0.103902,0.100529,0.236536,0.108044,0.262084,0.185576,0.208984,0.22961,0.216155,0.128228,0.117199,0.0957626,0.0902046,0.161939,0.117999,0.212184,0.109556,0.103789
730.774,0.0949862,0.317312,0.0878285,0.0938427,0.302953,0.314523,0.0916922,0.329413,0.0932103,0.127903,0.247852,0.159892,0.23208,0.111652,0.0944405,0.0907417,0.123799,0.144541,0.152092,0.101516,0.102147,0.204236,0.109133,0.227901,0.185475,0.188048,0.2013,0.18612,0.128494,0.117281,0.082135,0.0940398,0.140654,0.121189,0.186783,0.112919,0.102222
732.638,0.0972048,0.261644,0.0896931,0.0959047,0.249483,0.259885,0.094064,0.269239,0.0950848,0.128769,0.228162,0.149625,0.231869,0.110698,0.095772,0.0891901,0.124739,0.138159,0.153565,0.100438,0.102908,0.171135,0.109052,0.19282,0.184773,0.167408,0.172634,0.155313,0.127878,0.11525,0.0692386,0.0958098,0.12054,0.122527,0.16227,0.114224,0.101218
734.502,0.0972341,0.207232,0.0896209,0.0963087,0.197941,0.206713,0.0949015,0.212399,0.0954722,0.129443,0.203297,0.137795,0.232546,0.109339,0.094593,0.0868553,0.124849,0.130883,0.153553,0.100468,0.102206,0.138412,0.107671,0.159317,0.183337,0.14754,0.14489,0.12535,0.125721,0.110911,0.0571101,0.0952105,0.10287,0.121722,0.141221,0.113306,0.100055
